cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,?,u,p
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
b,s,w,t,?,f,c,b,n,?,c,s,s,w,w,p,w,o,p,?,n,?,e
x,y,w,t,s,f,c,n,n,e,e,s,s,?,w,p,w,o,p,k,s,u,p
x,s,g,f,n,f,w,b,k,t,?,s,s,w,w,p,w,o,e,n,a,g,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
b,?,w,t,a,f,c,b,g,e,c,s,s,w,o,p,w,o,p,k,n,m,e
?,y,w,t,l,f,c,b,n,?,c,?,s,w,w,p,w,o,?,n,s,m,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
b,s,y,t,a,f,c,b,g,?,c,s,s,w,w,p,w,o,p,k,s,m,e
x,y,y,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,?,y,t,?,f,c,b,n,t,c,s,s,w,w,p,w,o,p,?,?,m,e
b,s,y,t,a,f,c,b,w,e,c,?,s,w,?,p,?,o,p,n,s,g,e
x,y,w,t,p,f,c,n,k,e,e,s,s,?,w,p,w,o,p,n,v,u,p
x,f,n,f,n,f,w,b,n,t,e,s,f,w,e,p,w,o,e,k,a,g,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,?,w,o,p,?,y,u,e
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,?,w,?,p,k,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,?,w,w,p,w,o,p,n,s,u,p
x,?,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
b,s,y,t,a,f,c,b,k,e,c,s,s,?,w,p,w,o,p,n,s,m,e
x,y,n,t,p,f,c,n,n,e,e,s,s,?,w,p,w,o,p,n,v,g,p
b,y,y,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
b,s,w,t,l,f,c,b,p,?,c,s,s,w,w,p,w,t,p,k,s,m,e
f,s,w,t,p,a,c,n,n,e,e,s,?,w,w,p,w,o,p,n,v,g,p
x,?,y,t,a,f,c,b,n,e,?,s,s,w,n,p,w,o,p,n,n,m,e
x,y,w,t,l,f,c,b,w,e,c,?,s,w,w,p,w,o,p,n,n,m,e
f,f,n,f,n,f,?,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,s,y,t,a,f,w,n,n,t,b,s,s,o,w,p,?,o,p,n,v,d,e
b,s,y,t,l,f,c,b,g,e,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,?,p,n,s,u,p
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,n,t,l,f,c,b,p,e,r,s,y,w,?,p,w,o,p,n,y,p,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
?,f,y,t,?,f,w,n,w,t,b,s,s,w,w,p,w,n,p,n,v,d,e
s,f,g,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,n,t,p,f,c,n,w,?,e,s,s,w,w,p,w,o,p,n,s,u,p
x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,s,y,t,l,f,c,b,?,e,c,s,s,w,w,p,w,?,p,k,s,m,e
b,y,y,t,a,f,c,b,?,e,c,s,s,w,w,?,?,o,?,n,s,g,e
x,y,y,t,l,f,c,b,n,e,r,s,y,?,w,?,w,o,p,?,y,p,e
x,f,n,f,n,f,c,n,g,e,e,k,s,w,w,p,w,o,p,k,y,u,e
x,y,w,t,?,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,?,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,?,e
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,s,w,t,l,a,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,?,o,p,?,s,p,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,?,k,s,p,e
x,y,n,t,a,?,c,b,?,e,r,s,y,w,w,p,w,o,p,k,s,g,e
c,s,w,t,l,a,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
b,s,w,t,c,f,c,b,k,e,c,s,k,w,e,p,w,o,p,n,n,m,e
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,?,p,p
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,?,p
b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,f,g,f,n,f,w,?,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
b,s,w,t,a,f,c,b,w,e,?,s,s,w,w,p,y,o,p,n,n,g,e
x,g,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,g,e
x,y,n,t,f,f,?,b,p,e,r,s,y,w,w,p,w,?,p,k,y,p,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
b,y,y,t,a,f,?,b,k,?,c,s,s,w,w,p,w,o,p,n,s,m,e
?,s,y,t,l,a,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,y,y,f,l,f,c,b,g,e,c,s,s,w,p,p,w,?,?,n,v,m,e
b,y,w,t,c,f,c,b,n,e,c,y,s,w,w,p,w,o,p,n,s,g,e
f,s,n,f,n,f,w,?,k,?,e,s,s,w,w,p,w,o,e,k,a,g,e
x,s,w,t,l,f,c,b,n,?,c,s,k,w,w,p,w,o,p,k,s,g,e
f,y,y,t,a,f,?,b,w,e,r,s,y,w,w,p,n,o,p,n,s,g,e
x,y,y,t,a,?,c,b,w,e,c,s,s,w,w,p,w,o,p,k,v,g,e
x,f,g,f,n,f,c,n,p,t,e,s,s,w,w,p,w,o,p,n,v,m,e
f,?,y,t,l,f,w,n,?,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,y,w,t,l,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,s,m,e
f,f,y,t,l,f,w,n,w,t,b,?,s,w,w,p,w,o,p,n,v,d,e
